id,text,language,source
s001,Nach zwei Jahren mit dem GLE bin ich mit dem Fahrkomfort sehr zufrieden. Der Verbrauch liegt allerdings deutlich über den Werksangaben.,de,synthetic
s002,"Der Service in meiner Werkstatt war freundlich, aber die Wartung beim GLE ist spürbar teurer als bei meinem vorherigen Wagen.",de,synthetic
s003,Beim C63 begeistert mich der Klang bei jeder Fahrt. Im Stadtverkehr ist der Verbrauch aber schwer zu rechtfertigen.,de,synthetic
s004,Die Verarbeitung im Innenraum der C-Klasse wirkt hochwertig. Die grossen Displays spiegeln bei Sonne allerdings stark.,de,synthetic
s005,Mein A45 beschleunigt beeindruckend. Das Getriebe schaltet im Komfortmodus fuer meinen Geschmack zu ruppig.,de,synthetic
s006,Beim AMG GT stimmt fuer mich die Optik komplett. Der Kofferraum ist im Alltag jedoch kaum zu gebrauchen.,de,synthetic
s007,Die Elektronik im E-Klasse Kombi hatte zweimal Aussetzer beim Infotainment. Der Haendler konnte das Problem per Update loesen.,de,synthetic
s008,"Preis-Leistung finde ich beim GLC in Ordnung, solange man auf teure Zusatzpakete verzichtet.",de,synthetic
s009,Der SL 63 faehrt sich komfortabler als erwartet. Auf engen Landstrassen merkt man das Gewicht deutlich.,de,synthetic
s010,Ich fahre den GLB als Familienauto und bin mit dem Platzangebot zufrieden. Die Sitzposition hinten ist fuer Erwachsene knapp.,de,synthetic
s011,"Die Ladeplanung im Elektromodell funktioniert gut, die Reichweite im Winter liegt aber klar unter der Angabe.",de,synthetic
s012,Beim Kauf hat mich die Beratung ueberzeugt. Die Lieferzeit von sieben Monaten war dagegen aergerlich.,de,synthetic
s013,"The GLE rides very comfortably on long trips, though real fuel consumption is well above the official figure.",en,synthetic
s014,"Service at my dealer was quick and friendly, but the bill for a routine inspection was higher than I expected.",en,synthetic
s015,The exhaust note on the C63 is the reason I bought it. City driving economy is genuinely poor.,en,synthetic
s016,Interior materials in the C-Class feel premium. The large screens pick up fingerprints constantly.,en,synthetic
s017,My A45 accelerates hard and the all-wheel drive inspires confidence. The gearbox is jerky at low speed.,en,synthetic
s018,The AMG GT looks stunning from every angle. Boot space makes it impractical as an only car.,en,synthetic
s019,Infotainment in my E-Class froze twice in the first month. A software update at the dealer fixed it.,en,synthetic
s020,Value for money on the GLC is reasonable if you avoid the expensive option packages.,en,synthetic
s021,"The SL 63 is more comfortable than I expected on rough roads, but you feel its weight in tight corners.",en,synthetic
s022,We use the GLB as a family car and the space works well. Rear headroom is tight for adults.,en,synthetic
s023,Charging planning in the electric model works well. Winter range falls clearly short of the quoted figure.,en,synthetic
s024,The buying experience was good. Waiting seven months for delivery was not.,en,synthetic
