expert_id,metric,rank
expert_1,correctness,4
expert_1,transparency,5
expert_1,recency,3
expert_1,latency,2
expert_1,cost_efficiency,1
expert_2,correctness,5
expert_2,transparency,4
expert_2,recency,2
expert_2,latency,1
expert_2,cost_efficiency,3
expert_3,correctness,5
expert_3,transparency,4
expert_3,recency,3
expert_3,latency,2
expert_3,cost_efficiency,1
expert_4,correctness,4
expert_4,transparency,5
expert_4,recency,3
expert_4,latency,2
expert_4,cost_efficiency,1
expert_5,correctness,5
expert_5,transparency,3
expert_5,recency,4
expert_5,latency,1
expert_5,cost_efficiency,2
